title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
"Водитель - экспедитор в Сервис Маг Sulpak, г.Алматы",,Алматы,Sulpak,31-05-2024,"Опыт работы в доставке и на газель, отличное знание города и области. Наличие актуальных водительских прав категории С. ","Погрузочно-разгрузочные операции. Доставка товара с сервис-центр от потребителей и обратно, до и после ремонта, согласно должностной инструкции.","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/99141848
Оператор ЧПУ (мультикам)-водитель,250000 KZT,Алматы,4+4 Print,17-05-2024,"Опыт работы обязателен. Наличие водительского удостоверения (категории В). Внимательность, аккуратность, ответственный подход к работе.","Вести распиловочные работы на оборудовании. Принимать и вести учет по материалу \ расходным частям. Следить за оборудование \ помещением, соблюдать порядок. ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/99300705
Водитель автомобиля (самосвал),160000 - 190000 RUR,Усть-Каменогорск,Золотой Актив,14-05-2024,Опыт работы от 2 лет. Наличие водительского удостоверения!,"Перевозка горной массы, руды.","{'id': 'flyInFlyOut', 'name': 'Вахтовый метод'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/98916822
Водитель категории С,187000 - 187000 RUR,Рудный,Дорожно-строительный трест № 1,24-05-2024,Наличие водительского удостоверение категории С. Опыт работы от 1 года.,,"{'id': 'flyInFlyOut', 'name': 'Вахтовый метод'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/100021397
Водитель самосвала,60000 RUR,Костанай,Трест Уралтрансспецстрой,14-05-2024,"Профессиональный стаж управления аналогичным видом транспорта. Водительское удостоверение с открытой категорией С. Ответственность, внимание к деталям.","Управление самосвалом, перевозка инертных материалов.","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/98920439
Водитель на регион категория СЕ,,Костанай,Аромика Трейд (ТД West),14-05-2024,,"Управление транспортным средством и своевременное прибытие в точку назначения. Обеспечение сохранности автомобиля. Проверять техническое состояние транспортного средства перед выездом, в...","{'id': 'fullDay', 'name': 'Полный день'}",Нет опыта,Полная занятость,https://hh.ru/vacancy/91649339
Водитель Д категории,180000 - 200000 KZT,Кулан,ТЕМІРЖОЛ ЖӨНДЕУ,17-05-2024,,"Обеспечивает технически правильную эксплуатацию и надежную работу закрепленный автотранспортной техники, повышение его сменности, содержание в технически исправном состоянии. ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/99304336
Водитель-экспедитор,250000 - 270000 KZT,Костанай,ПетроКондитер Костанай,21-05-2024,,"Обязанности: Развоз кондитерских изделий по городу ( складская, супермаркеты). Требования: Работа с накладными, контроль загрузки и выгрузки товара, знание технического устройства...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/99754235
Водитель на Газ 3307,145600 - 300000 KZT,Кокшетау,Гормолзавод,28-05-2024,"Категория В,С (ГАЗ 3307). Опыт работы не менее трех лет. Ответственность. Стрессоустойчивость.","Управление, исправное техническое состояние транспортного средства. Сохранность доставляемого груза (молоко). Сопровождение груза и передача в место назначения и т.д.","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/100466097
Водитель на Дамас / FAW / Газель,250000 - 250000 KZT,Алматы,Art Building Group,10-05-2024,"Ответственность за порученное дело. Дисциплинированность. Исполнительность. Знание устройства автомобиля. Соблюдение ПДД. Водительское удостоверение категории ""В""; ""С"". Стаж вождение не менее...","Доставка документов, мелкого груза по городу, сдача груза. Контроль правильности погрузочных работ. Развозка сотрудников по рабочим вопросам.","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/98673370
"Водитель категории СЕ, Балхаш",380000 KZT,Балхаш,КДВ Групп,04-06-2024,Ответственное отношение к грузу и к машине. - Работа на короткое плечо. От Вас потребуется: - Опыт работы на ТС категории СЕ...,"Служба поддержки, консультирует водителей по любым вопросам в режиме 24/7. - Ремонт и обслуживание машин осуществляется на аккредитованных СТО за...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/98871358
Водитель карьерного самосвала А3,200000 RUR,Семей,Восточная горнорудная компания,20-05-2024,Удостоверение А3. Подтвержденный опыт работы на карьерных самосвалах грузоподъемностью не менее 90 тонн от 3-х лет.,Транспортировка горной массы на карьерных самосвалах. Техническое обслуживание вверенной техники.,"{'id': 'flyInFlyOut', 'name': 'Вахтовый метод'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/99520354
"Водитель, категория D",187000 - 187000 RUR,Шу,Дорожно-строительный трест № 1,24-05-2024,"Наличие опыта от 1-го года, официально подтвержденного. Наличие водительских прав категории D.",Перевозка персонала на вахтовке УРАЛ по территории месторождения.,"{'id': 'flyInFlyOut', 'name': 'Вахтовый метод'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/100021707
Водитель-экспедитор,200000 - 300000 KZT,Астана,ALSER (Gulser Computers),27-05-2024,"Наличие водительских прав. -Знать ПДД. -Ответственность, внимательность, коммуникабельность.",Развозка товара. -Выполнять поручения руководителя.,"{'id': 'shift', 'name': 'Сменный график'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/100333220
Водитель автонометоносмесителя,400000 - 400000 KZT,Астана,ОСК - Стройсервис,08-05-2024,Ответственность. Пунктуальность.,Перевозка бетона на автобетоносмесителе до объекта. Контролировать перевозимый бетон (есть четкая инструкция). Вежливо общаться с клиентами. Постоянная работа в команде. ,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/98597644
Водитель-экспедитор с личной газелью,150000 - 180000 KZT,Кокпекты,ALSER (Gulser Computers),13-05-2024,Наличие личной газели. Качество и своевременность выполнения возложенных на него функций. Наличие водительских прав категорий В. Хорошее знание города.,"Принимать товар со склада, проверять соответствие количества получаемого товара количеству, указанному в расходных документах. Проверять товарный вид и целостность упаковки...","{'id': 'fullDay', 'name': 'Полный день'}",Нет опыта,Частичная занятость,https://hh.ru/vacancy/98808109
Водитель с личным автомобилем,,Аксу (Павлодар.обл),СЕРВИСНЫЙ ЦЕНТР ERG,23-05-2024,,"Водитель обязан: 1) неукоснительно соблюдать правила дорожного движения, правила и нормы охраны труда, техники безопасности и противопожарной безопасности. ","{'id': 'fullDay', 'name': 'Полный день'}",Нет опыта,Полная занятость,https://hh.ru/vacancy/99950523
"Водитель, категория D",187000 - 187000 RUR,Караганда,Дорожно-строительный трест № 1,24-05-2024,"Наличие опыта от 1-го года, официально подтвержденного. Наличие водительских прав категории D.",Перевозка персонала на вахтовке УРАЛ по территории месторождения.,"{'id': 'flyInFlyOut', 'name': 'Вахтовый метод'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/100021702
Водитель ЗИЛ,250000 - 250000 KZT,Алматы,Алматинский Завод Мостовых Конструкций,16-05-2024,Наличие категории 1 класс. Опыт работы от 2-3 лет. Знание машины ЗИЛ. Добросовестное отношение к работе. Пунктуальность.,Своевременная подача автотранспортного средства на точку. Своевременная доставка бетона. Следить за техническим состоянием машины.,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/99146763
Водитель погрузчика,,Караганда,Карбон-Инвест,04-06-2024,Полное среднее образование. Знание техники. Наличие удостоверение машиниста. Стаж работы от 5 лет.,Обеспечение выполнения комплекса предписанных работ по проведению погрузочно-разгрузочных мероприятий. Техническое обслуживание и текущий ремонт погрузчика. Опыт работы на карьере...,"{'id': 'flyInFlyOut', 'name': 'Вахтовый метод'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/101235472
Водитель на топливозаправщик,,Астана,ТауКенӨндіруші,22-05-2024,Опыт работы в карьерах обязателен.,,"{'id': 'flyInFlyOut', 'name': 'Вахтовый метод'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/99790750
Водитель Янднкс,100000 - 135000 KZT,Шымкент,TradeX,24-05-2024,Договор материальной ответственности - ОБЯЗАТЕЛЬНО! - опыт работы на Яндекс. - знание города. - умение починить автомобиль в дороге самостоятельно (мелкосрочный ремонт). - ,"GPS контроль. - по необходимости выезды по делам фирмы, в остальное время работа на ЯНДЕКС такси. - уход за автомобилем. - ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/100071826
Водитель на яндекс таксопарк (машина фирмы),300000 - 600000 KZT,Актобе,Hellagood_aktobe,10-05-2024,Стаж вождения не менее 4 лет (свыше 8класса). -Ответственность.,,"{'id': 'shift', 'name': 'Сменный график'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/98682616
