title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Геодезист-топосъемщик (топографо-геодезические работы),,Алматы,ГЕОСТРОЙИНВЕСТ,22-08-2023,"Высшее техническое образование . Знание ПК, программы AutoCad. Опыт работы по направлению деятельности более 3х лет.","Топографическая Съемка Инженерных сетей и коммуникации, Поиск подземных коммуникации для переноса на топографический план или геоподоснову; поиск инженерных систем и...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/85577653
Инженер-геодезист,250000 - 300000 KZT,Астана,Novotec Engineering,08-08-2023,Профильное образование. Опыт работы.,Выполнение топографической и исполнительной съемки. Камеральная работа. Обработка геодезических съемок. Расчет объемов.,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/84710638
Инженер-геодезист,250000 - 300000 KZT,Караганда,Горнопромышленная Транспортная Компания,14-08-2023,Опыт работы. Ответственность. Опыт работы с эл.тахеометром лейка.,"Вертикальная планировка, земляные работы, строительство автодорог. Разбивка. Съемка.",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/85006600
Геодезист,,Алматы,"Caspian Contractors Trust,ТОО",28-08-2023,"Знание ПК (Microsoft Office,Autodesk, AutoCAD).",Планирование комплекса геодезических работ. Выполнения мероприятий по сгущению плановой сети требуемыми по ситуации геодезическими методами. Проведение геодезических мероприятий при решении...,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/84878629
Инженер-геодезист,400000 - 600000 KZT,Костанай,KazInvestStroy,01-08-2023,Высшее геодезическое или аэрофотогеодезическое образование. Стаж работы в должности по специальности не менее 3 лет. Владение навыками работы AutoCAD Civill...,"Выполнение геодезических работ, обеспечивающих точный перенос в натуру строительных объектов. Выполняет математическую обработку результатов геодезических измерений с использованием программных продуктов...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/84349385
Инженер-геодезист (полевые работы и камеральная обработка),,Алматы,КАТЭК,16-08-2023,Знание комплекса геодезических работ. Основы применения компьютерной техники в геодезии. Методы съемок на местности. Высшее образование. Опыт работы не менее...,Детальные разбивочные работы по всем конструкциям.,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/85153044
Инженер-геодезист,300000 - 500000 KZT,Алматы,Азия ГеоСтройПроект,31-07-2023,Умение работы с тахеометром. Умение работы с Gps. Знание Autocad. Умение составления и оформления исполнительных съемок. Умение в подсчетах объемов...,Работаем со строительными компаниями: - СТРОИТЕЛЬСТВО ЖК. - БЛАГОУСТРОИТЕЛЬНЫЕ РАБОТЫ. - ФАСАДНЫЕ РАБОТЫ. - ТОПОГРАФИЧЕСКИЕ СЪЕМКИ. - ИНЖЕНЕРНЫЕ СЕТИ. И.Т.Д.,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/84245757
Помощник геодезиста,260000 KZT,Костанай,KazInvestStroy,01-08-2023,Образование: среднее/высшее инженерно-строительное образование. Опыт работы: от 1 года.,"Выполняет геодезические работы (ведение полевых журналов, выполнение исполнительных съемок, в том числе подземных коммуникаций в открытых траншеях, выполнение и хранение...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/84349466
Геодезист,350000 - 350000 KZT,Астана,СТРОИТЕЛЬНАЯ КОМПАНИЯ ТАКАСУР,09-08-2023,"Высшее, техническое (опыт работы по дорожному строительству). Требования к стажу работы и/или в профессиональной сфере - не менее 7-х...","Организует и координирует работы по геодезическому обеспечению строительства. 2. Обеспечивает применение эффективных методов и средств измерений и контроля, планирование полевых...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/84786020
Инженер-геодезист,,Актобе,ABK Construction Group,22-08-2023,Высшее геодезическое или аэрофотогеодезическое образование. Стаж работы в должности по специальности не менее 3 лет. Владение навыками работы AutoCAD Civill...,"Выполнение геодезических работ, обеспечивающих точный перенос в натуру строительных объектов. Выполняет математическую обработку результатов геодезических измерений с использованием программных продуктов...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/85587076
Инженер-геодезист,250000 - 280000 KZT,Усть-Каменогорск,УКУ Промтехмонтаж,31-07-2023,"Опыт работы желателен. Среднее специальное, высшее образование.","Подготовка исполнительной документаций, камеральная обработка данных. Проведение исполнительных геодезических съемок. Осуществление разбивочных геодезических работ. Работа с геодезическими приборами (тахометр, теодолит...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/84277765
"Геодезист (Удокан, АГПЗ)",,Атырау,Ренейссанс Хэви Индастрис,03-08-2023,Средне-специальное / высшее образование. Опыт работы приветствуется. Знание английского и/или турецкого языка будет преимуществом. Обязательно владение AutoCad.,"Выполнение работ по созданию и обновлению топографических карт и планов. Обработка полученной информации. Выполнение топографических работ, содержание которых регламентировано инструкциями...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/84479183
Геодезист,400000 - 450000 KZT,Павлодар,QSM Engineering,10-08-2023,"Высшее образование по профилю. Опыт работы свыше 3 лет. Умение работать с тахиометром, GPS, нивилир. Знание AutoCAD обязательно. Возможность командировок. ",Вынос в натуру границ земельных участков. Топографическая съемка и оформление. Исполнительная геодезическая съёмка элементов благоустройства и инженерных сетей. ,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/84866247
"Геодезист (Удокан, АГПЗ)",,Караганда,Ренейссанс Хэви Индастрис,03-08-2023,Средне-специальное / высшее образование. Опыт работы приветствуется. Знание английского и/или турецкого языка будет преимуществом. Обязательно владение AutoCad.,"Выполнение работ по созданию и обновлению топографических карт и планов. Обработка полученной информации. Выполнение топографических работ, содержание которых регламентировано инструкциями...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/84479190
Геодезист,,Усть-Каменогорск,KAZ EXPLO SERVICE,09-08-2023,Знание AutoCAD. Знание GPS. Умение работать с тахеометром. Опыт работы не менее 5 лет.,"Вычисление нивелирного и тахеометрического хода. Геодезическая съемка участка работ. Проведение геодезических, геологических и гидрологических изысканий. Камеральная обработка материалов инженерно -геодезических...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/84822199
Геодезист,,Актобе,Батыс СпецТехника,08-08-2023,Опыт работы не менее от 5 лет.,Планирование комплекса геодезических работ. Проведение геодезических мероприятий при решении строительных и инженерно-технических задач. Выполнение требуемых геодезических измерений и расчетов...,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/84749149
Инженер-геодезист,200000 - 350000 KZT,Караганда,ТЕМІРЖОЛ ЖӨНДЕУ,11-08-2023,"Высшее профессиональное (техническое) образование. Свободное владение ПК. Работа в программах CIvil, Autocad. Опыт работы по специальности от 3 лет.","Выполнение работ по сгущению плановой сети различными геодезическими методами (триангуляции, полигонометрии и т.д.), а также высотной основы методами нивелирования. ",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/84952519
