title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Главный менеджер проектов,800000 - 1200000 KZT,Алматы,"Центр развития города Алматы, АО",10-08-2023,Искреннее желание и мотивация внести вклад в развитие города Алматы и стремление сделать его лучше. Нетерпимость к коррупционным практикам и...,"Участвовать в формировании и отслеживать портфель проектов соответствующего базового направления. Анализировать Программу развития города, Портфель национальных приоритетов, выделять цели по...",,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/84872432
Менеджер по продажам в Инстаграм,160000 - 320000 KZT,Алматы,ЧАГАЙДАК,18-07-2023,Свободно говоришь на русском и казахском. Грамотно пишешь на русском и казахском. Имеешь рациональное мышление.,Какие задачи нужно выполнять? Обработка входящих заявок в Инстаграмм по скрипту (продажи теплым клиентам в сообщениях в директе и на...,,Нет опыта,Частичная занятость,https://hh.ru/vacancy/83618138
"Менеджер, Департамент HR",,Астана,Национальные информационные технологии,11-08-2023,Высшее/допускается наличие среднего профессионального образования по направлению деятельности (социально-экономические науки и бизнес; право; естественные науки; технические науки и...,"Ведение кадрового делопроизводства в рамках стандартов Общества и Трудового законодательства РК. Переписка и исполнение поручений по вопросам, находящихся в компетенции...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/84921808
Офис-менеджер,,Астана,Danwil.kz,04-08-2023,Опыт работы офис-менеджером. Опыт работы с программой 1С. Уверенное владение языками (казахским и русским). Высшее образование.,Вести документооборот. Контролировать административную деятельность офиса. Выполнять поручения руководителя. Вести переговоры с лояльными Заказчиками. Заключать сделки. Вести клиентскую базу. ,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/84525679
Менеджер Kaspi Allo (Алматы),150000 KZT,Каскелен,Kaspi.kz,10-08-2023,Умение доступным языком излагать необходимую информацию клиенту. Желание найти подход к каждому клиенту и умение сосредотачиваться на вопросах клиента. ,Оказывать помощь и заботу клиентам в решении их проблем. Консультировать потенциальных и действующих клиентов банка по телефону. Предоставлять информацию по...,,Нет опыта,Полная занятость,https://hh.ru/vacancy/79284749
Менеджер по работе с клиентами в SMM агентство,250000 - 450000 KZT,Астана,B2B-World,27-07-2023,Знание основ СММ и маркетинга. Умение определять и анализировать ЦА бренда/продукта. Опыт работы в продажах. Коммуникабельность и деловая этика. ,Работа как с базой постоянных клиентов. Поддержание высокого % возращаемости клиентов. Заключение новых договоров для поддержания планового уровня оборота. ,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/84101161
Менеджер по закупу в цветочный магазин,300000 - 500000 KZT,Астана,Цветландия,08-08-2023,"Ответственность, логическое мышление , Быстро реагировать на ситуации, сдержанность.","Прием заказов , контроль , оплачивать заказы , искать поставщиков , отвечать за внутреннюю логистику.",,Нет опыта,Полная занятость,https://hh.ru/vacancy/84728773
Менеджер по заявкам в инстаграм,150000 - 350000 KZT,Астана,ШвайкоЗ.Г,26-07-2023,Грамотная письменная и устная речь. Знание техник продаж. Умение работать в CRM системах будет огромным плюсом. Желание развиваться и расти...,"Вовремя отвечать в Инстаграм по скриптам в рабочее время через CRM систему. Созваниваться с клиентами, которые оставили номер. ",,Нет опыта,Частичная занятость,https://hh.ru/vacancy/84037727
Менеджер по продажам,300000 - 2000000 KZT,Алматы,EduPlat LTD,11-08-2023,"Опыт работы в онлайн продажах от 1 года. Опыт в реализации образовательных продуктов, будет преимуществом. Грамотная речь. Коммуникативная компетентность: умение...",Развитие. Эффективность. Работа в команде. Гибкость. Персональность (уникальный подход к каждому клиенту). Любовь к своему делу. Заключение сделок методом горячих...,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/84927170
Менеджер по продажам,250000 - 500000 KZT,Алматы,Живая вода,26-07-2023,Умение находить подход к клиенту. Активность. Желание работать и расти. Вежливая и грамотная речь. Исполнительность. Знание казахского языка. ,Работа с готовой базой клиентов. Горячие звонки. Принимать и обрабатывать заявки.,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/84076771
