title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Корпоративный юрист,,Алматы,МФО ЮНИКРЕДО,29-05-2024,Высшее юридическое образование. Опыт работы корпоративным юристом не менее 3-х лет. Опыт работы в секторе PDL ( выдача онлайн займов). ,"Полное юридическое сопровождение деятельности компании и ее клиентов. Мониторинг изменений в законодательстве, знание Законодательства РК. Обеспечение качественного и своевременного консультирования...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/98428213
Юрист в Отдел правового обеспечения,,Алматы,"Страховая компания Халык, ДО Народного Банка Казахстана",18-06-2024,Высшее юридическое образование. Общий опыт в области юриспруденции более 2-х лет. Опыт в области страхования не менее 1 года...,Участие в разработке внутренних нормативных документов Компании. Проведение юридической экспертизы проектов нормативных и распорядительных документов Компании. Проведение юридической экспертизы на...,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/101264146
Юрист,,Алматы,J&P Law Firm,17-06-2024,"Высшее юридическое образование. Опыт работы от 6 лет. Уверенный пользователь ПК, судебного кабинета, Word, Excel и др. Знание законодательства РК. ","Правовое сопровождение клиентов. Претензионно-исковая работа. Представление интересов в государственных органах, судах. Подготовка и экспертиза договоров, составление юридических заключений. ","{'id': 'fullDay', 'name': 'Полный день'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/100713580
Юрист,,Алматы,МинТакс Аудит,14-06-2024,Высшее юридическое образование. Наличие опыта представления интересов Компании в судах различных инстанций. Грамотная устная и письменная речь. Знание офисных программ...,"Разработка проектов юридических документов (договоров, запросов, претензий, исков, жалоб, писем). Анализ принятых и вступивших в силу нормативных правовых актов. ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/99946043
Юрист,400000 - 450000 KZT,Алматы,Parasat Samex Co.LTD,18-06-2024,Опыт на аналогичной позиции от 3 лет. Высшее юридическое образование. Умение работать в режиме многозадачности. Стрессоустойчивость. Знание английского языка приветствуется.,Регистрация юридических лиц и сделок с недвижимостью. Опыт договорной работы. Претензионная и исковая работа. Составление писем по урегулированию финансовой задолженности. ,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/99852442
Юрист/JСB,500000 - 600000 KZT,Алматы,ORBIS MACHINERY,30-05-2024,Обязательным условием наличие опыта работы в корпоративной и судебной претензионной отрасли. Требования: Высшее/послевузовское. Знание английского языка не ниже Upper...,"Осуществлять разработку учредительных документов. Обеспечивать регистрацию юридических лиц, внесение изменений в учредительные документы. Определять правовые основы органов предприятия, разрабатывать положения...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/100711802
"Юрист, Алматы",,Алматы,АК Алтыналмас,16-06-2024,Основные требования - Высшее юридическое образование. Минимальный стаж работы по специальности не менее 3 лет. Должен знать: Законодательство Республики Казахстан - гражданское...,"К вниманию АО «АК Алтыналмас» в поисках юриста. Опыт от 3 лет и более, желательно отрасль ГМК, основное направление - оформление...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/100599123
Юрисконсульт,365000 KZT,Алматы,Легал Партнёр,06-06-2024,Быстрая обучаемость. Пунктуальность. Ответственность. Желание зарабатывать. Грамотная речь. Знание разговорного русского языка.,"Первичное консультирование клиентов об услугах компании в офисе (только личные встречи в офисе, без поиска, без привлечения и без продаж). ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/100591518
Юрист,250000 - 350000 KZT,Алматы,INDEPENDENT LAWYERS GROUP,16-06-2024,"Знания в области гражданско-процессуального права РК, законодательства об исполнительном производстве. Знание процедур претензионно-исковой деятельности. Образование колледж/ высшее юридическое. ","ОБЯЗАТЕЛЬНО С ВЫПИСКОЙ С ПАЛАТЫ И ОПЫТОМ В СУДЕ. Составление процессуальных документов (исковые заявления, ходатайства, жалобы и т.п.). ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/99951597
Старший юрист,300000 - 350000 KZT,Алматы,INDEPENDENT LAWYERS GROUP,18-06-2024,"Знания в области гражданско-процессуального права РК, законодательства об исполнительном производстве. Образование высшее юридическое. Грамотная речь (устная и письменная, владение...","Наличие стажа работы в юрид. сфере минимум 2 года. Составление процессуальных документов (исковые заявления, ходатайства, жалобы и т.п.). - ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/100821792
Legal counsel (Almaty) (Юрист международник),,Алматы,АВТО-ЕВРО,18-06-2024,"Degree in Law. Minimum 3 PQE. Impeccable knowledge of civil law, private international law and regulations on international trading, especially...",Legal support for corporate governance matters in Kazakhstan and other countries of the region. Supervising and legal service of debt...,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/101398196
Юрист по сопровождению клиентов,250000 - 350000 KZT,Атырау,Современная Защита,16-06-2024,"Коммуникабельность. Чёткое выполнение задач, поставленных руководителем. Свободное владение русским и казахским языком (обязательное требование). Ответственность, внимательность, стрессоустойчивость. Знание базовых офисных...","Работа с текущими клиентами компании (ведение CRM системы по действующим клиентам). Контроль над документооборотом (проверка, скан, загрузка документов в CRM). ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/99536622
